Date,Open,High,Low,Close,Adj Close,Volume
2022-08-16,4.311000,4.315000,4.245000,4.275000,4.275000,1613160
2022-08-17,4.308000,4.308000,4.101000,4.135000,4.135000,2906892
2022-08-18,4.135000,4.178000,4.083000,4.115000,4.115000,2417292
2022-08-19,4.073000,4.110000,4.001000,4.030000,4.030000,1972997
2022-08-22,4.010000,4.030000,3.863000,3.888000,3.888000,3268196
2022-08-23,3.862000,3.944000,3.862000,3.900000,3.900000,2373494
2022-08-24,3.891000,3.906000,3.824000,3.879000,3.879000,2951087
2022-08-25,3.920000,3.923000,3.833000,3.876000,3.876000,1691093
2022-08-26,3.900000,3.900000,3.722000,3.734000,3.734000,2752657
2022-08-29,3.677000,3.686000,3.500000,3.666000,3.666000,4524477
2022-08-30,3.700000,3.765000,3.652000,3.709000,3.709000,3276147
2022-08-31,3.750000,3.820000,3.704000,3.780000,3.780000,4372863
2022-09-01,3.713000,3.794000,3.692000,3.734000,3.734000,1774378
2022-09-02,3.758000,3.859000,3.734000,3.850000,3.850000,1884433
2022-09-05,3.712000,3.743000,3.655000,3.655000,3.655000,2295669
2022-09-06,3.616000,3.775000,3.612000,3.765000,3.765000,2569808
2022-09-07,3.739000,3.787000,3.719000,3.784000,3.784000,1415765
2022-09-08,3.791000,3.798000,3.687000,3.759000,3.759000,1818135
2022-09-09,3.757000,3.867000,3.757000,3.824000,3.824000,1889382
2022-09-12,3.857000,3.941000,3.846000,3.920000,3.920000,2198505
2022-09-13,3.930000,3.930000,3.801000,3.810000,3.810000,2235118
2022-09-14,3.800000,3.849000,3.725000,3.782000,3.782000,1457150
2022-09-15,3.800000,3.835000,3.750000,3.781000,3.781000,1132165
2022-09-16,3.711000,3.764000,3.676000,3.728000,3.728000,2664565
2022-09-19,3.713000,3.795000,3.700000,3.764000,3.764000,1018012
2022-09-20,3.774000,3.813000,3.744000,3.776000,3.776000,1465575
2022-09-21,3.731000,3.764000,3.712000,3.756000,3.756000,1131519
2022-09-22,3.677000,3.747000,3.609000,3.622000,3.622000,2294253
2022-09-23,3.612000,3.626000,3.463000,3.465000,3.465000,2080103
2022-09-26,3.458000,3.530000,3.428000,3.450000,3.450000,2088678
2022-09-27,3.484000,3.537000,3.448000,3.496000,3.496000,1535007
2022-09-28,3.464000,3.475000,3.356000,3.422000,3.422000,1918944
2022-09-29,3.430000,3.430000,3.221000,3.270000,3.270000,3073716
2022-09-30,3.288000,3.374000,3.277000,3.360000,3.360000,2232714
2022-10-03,3.340000,3.381000,3.245000,3.366000,3.366000,2368766
2022-10-04,3.442000,3.506000,3.385000,3.503000,3.503000,2192771
2022-10-05,3.453000,3.476000,3.314000,3.360000,3.360000,2838137
2022-10-06,3.390000,3.462000,3.390000,3.410000,3.410000,2840074
2022-10-07,3.364000,3.455000,3.364000,3.386000,3.386000,2266722
2022-10-10,3.330000,3.461000,3.330000,3.401000,3.401000,2539605
2022-10-11,3.330000,3.404000,3.304000,3.404000,3.404000,2153043
2022-10-12,3.422000,3.422000,3.316000,3.419000,3.419000,3459188
2022-10-13,3.400000,3.541000,3.388000,3.500000,3.500000,3129866
2022-10-14,3.562000,3.609000,3.508000,3.546000,3.546000,2338667
2022-10-17,3.555000,3.651000,3.495000,3.639000,3.639000,1700651
2022-10-18,3.670000,3.689000,3.614000,3.623000,3.623000,2384374
2022-10-19,3.653000,3.653000,3.546000,3.569000,3.569000,1713888
2022-10-20,3.560000,3.639000,3.531000,3.585000,3.585000,1883074
2022-10-21,3.550000,3.551000,3.468000,3.516000,3.516000,2573864
2022-10-24,3.563000,3.712000,3.531000,3.698000,3.698000,3358682
2022-10-25,3.724000,3.780000,3.672000,3.780000,3.780000,2688752
2022-10-26,3.740000,3.787000,3.676000,3.774000,3.774000,1764647
2022-10-27,3.738000,3.870000,3.692000,3.841000,3.841000,2313636
2022-10-28,3.780000,3.830000,3.754000,3.812000,3.812000,1243466
2022-10-31,3.829000,3.847000,3.797000,3.818000,3.818000,1372350
2022-11-01,3.820000,3.850000,3.661000,3.724000,3.724000,3798686
2022-11-02,3.740000,3.792000,3.707000,3.760000,3.760000,2531218
2022-11-03,3.738000,3.738000,3.631000,3.656000,3.656000,2217035
2022-11-04,3.790000,4.080000,3.785000,4.058000,4.058000,8350860
2022-11-07,4.050000,4.090000,3.939000,4.078000,4.078000,3165190
2022-11-08,4.053000,4.117000,4.020000,4.025000,4.025000,1598547
2022-11-09,4.023000,4.063000,3.958000,4.041000,4.041000,1521794
2022-11-10,3.996000,4.159000,3.989000,4.133000,4.133000,2693788
2022-11-11,4.199000,4.238000,4.136000,4.136000,4.136000,2310985
2022-11-14,4.149000,4.219000,4.136000,4.185000,4.185000,1535495
2022-11-15,4.232000,4.233000,4.097000,4.174000,4.174000,1930210
2022-11-16,4.171000,4.175000,4.070000,4.120000,4.120000,1865038
2022-11-17,4.168000,4.174000,4.053000,4.076000,4.076000,1307714
2022-11-18,4.100000,4.206000,4.057000,4.168000,4.168000,2097102
2022-11-21,4.144000,4.199000,4.096000,4.112000,4.112000,1119391
2022-11-22,4.094000,4.179000,4.076000,4.162000,4.162000,995208
2022-11-23,4.158000,4.158000,4.071000,4.121000,4.121000,1315283
2022-11-24,4.116000,4.200000,4.116000,4.184000,4.184000,1298609
2022-11-25,4.179000,4.223000,4.147000,4.223000,4.223000,1179788
2022-11-28,4.186000,4.246000,4.176000,4.230000,4.230000,1498119
2022-11-29,4.250000,4.265000,4.187000,4.192000,4.192000,1292056
2022-11-30,4.226000,4.242000,4.169000,4.240000,4.240000,1981212
2022-12-01,4.271000,4.365000,4.225000,4.326000,4.326000,2960871
2022-12-02,4.324000,4.327000,4.239000,4.273000,4.273000,1043268
2022-12-05,4.274000,4.287000,4.194000,4.236000,4.236000,1887472
2022-12-06,4.210000,4.251000,4.154000,4.154000,4.154000,2011006
2022-12-07,4.140000,4.193000,4.120000,4.143000,4.143000,1459082
2022-12-08,4.158000,4.158000,4.069000,4.100000,4.100000,1326415
2022-12-09,4.135000,4.136000,4.033000,4.088000,4.088000,1935161
2022-12-12,4.052000,4.074000,3.991000,4.002000,4.002000,2636832
2022-12-13,4.011000,4.249000,4.008000,4.169000,4.169000,3728189
2022-12-14,4.141000,4.169000,4.106000,4.151000,4.151000,1434174
2022-12-15,4.117000,4.163000,4.015000,4.029000,4.029000,1633157
2022-12-16,4.051000,4.077000,3.984000,3.994000,3.994000,2113833
2022-12-19,4.019000,4.054000,4.008000,4.025000,4.025000,780175
2022-12-20,3.974000,4.035000,3.948000,4.007000,4.007000,1016341
2022-12-21,4.039000,4.080000,4.003000,4.074000,4.074000,995271
2022-12-22,4.065000,4.078000,4.009000,4.026000,4.026000,1066557
2022-12-23,4.034000,4.095000,4.021000,4.079000,4.079000,929483
2022-12-27,4.105000,4.105000,4.047000,4.064000,4.064000,533841
2022-12-28,4.060000,4.067000,4.032000,4.061000,4.061000,639048
2022-12-29,4.058000,4.099000,4.021000,4.093000,4.093000,859323
2022-12-30,4.031000,4.076000,4.004000,4.004000,4.004000,740202
2023-01-02,4.023000,4.115000,4.023000,4.089000,4.089000,1180250
2023-01-03,4.100000,4.321000,4.099000,4.273000,4.273000,3002032
2023-01-04,4.274000,4.433000,4.266000,4.423000,4.423000,2901452
2023-01-05,4.392000,4.453000,4.365000,4.441000,4.441000,1610539
2023-01-06,4.441000,4.572000,4.384000,4.552000,4.552000,1755535
2023-01-09,4.564000,4.592000,4.517000,4.552000,4.552000,1241856
2023-01-10,4.630000,4.644000,4.495000,4.540000,4.540000,1362107
2023-01-11,4.574000,4.574000,4.502000,4.565000,4.565000,1203558
2023-01-12,4.591000,4.679000,4.559000,4.645000,4.645000,2514140
2023-01-13,4.630000,4.630000,4.556000,4.609000,4.609000,1423586
2023-01-16,4.613000,4.666000,4.578000,4.640000,4.640000,1141934
2023-01-17,4.614000,4.707000,4.600000,4.688000,4.688000,1481884
2023-01-18,4.655000,4.806000,4.634000,4.720000,4.720000,2314915
2023-01-19,4.677000,4.715000,4.580000,4.591000,4.591000,1615322
2023-01-20,4.639000,4.639000,4.485000,4.537000,4.537000,2276340
